Jim - Salesman
Dwight - Salesman
Pam - Receptionist
Michael - Manager
Oscar - Accountant
Toby - Human ResourcesToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer ServiceToby - Human Resources
Kelly - Customer Service
